GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Industrial_Production_Index (%)
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
-1,8.5,3.6,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.3,3.7,4.6
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,8.6,3.6,3.8
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
0.3,9.1,3.6,3.2
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.5,3.5,3
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.3,3.6,3.1
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
2.7,8.2,3.5,4.6
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.7,3.6,3.1
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,7.1,3.6,1.8
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
3.4,6.5,3.5,0.6
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6.4,3.4,1.5
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,6,3.6,0.9
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.8,5,3.5,0.1
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.9,3.4,0.3
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,4.1,3.7,0
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
2.4,3,3.6,-0.4
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.2,3.5,0
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.1
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
4.4,3.7,3.8,-0.2
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.2,3.8,-0.8
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.1,3.7,-0.2
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
3.2,3.4,3.8,0.8
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.1,3.7,-1.2
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.2,3.9,-0.1
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
1.6,3.5,3.9,-0.3
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.4,3.9,-0.8
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3.3,4,0
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3,3,4.1,0.9
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.9,4.2,-0.5
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.5,4.2,-0.1
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
3.1,2.4,4.1,-0.7
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.6,4.1,-0.4
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.7,4.2,-0.9
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
2.3,2.9,4.1,0.3
